,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
72,FL,2006,58784,8.21,R,42.6,135.1,184.4,177.7,136.5,68.2,15.9,14.3,40,49.7,37.4,22.6,12.5,4,75.8,43.1,108.1,113.8,93,45.4,9.6,6.61,8.21,201.6,8.21,8.21
73,GA,2006,63504,6.61,R,43.3,138,189.8,174,128.8,61.9,13.3,8,23.7,32.3,25.5,15.6,8.7,2.5,93.2,53.7,128.5,121.6,93,43.7,8.8,6.61,6.61,201.6,6.61,6.61
74,HI,2006,77823,8.66,R,45.2,127.5,174.6,166.1,146.7,82.2,22.1,19.1,38.9,42.3,26,17.6,10.1,4.1,70.6,39,106.7,114.6,106.1,59.3,14.7,6.61,8.66,201.6,8.66,8.66
75,IA,2006,61937,6.61,D,26.2,85.3,141.5,203.7,130.3,55.2,10,6.5,16.3,20.8,16.6,9.4,5.9,1.9,56.2,32.6,98.9,154.5,99.9,40.6,6.6,6.61,6.61,201.6,6.61,6.61
76,ID,2006,59475,6.61,R,29.2,97.6,188.6,201.9,131.1,56.3,11.2,7.3,13.8,16.3,11.9,7.9,5.3,1.9,68.6,38.1,142.2,157.3,102.1,42.1,7.6,6.61,6.61,201.6,6.61,6.61
77,ID,2006,59475,6.61,R,29.2,97.6,188.6,201.9,131.1,56.3,11.2,7.3,13.8,16.3,11.9,7.9,5.3,1.9,68.6,38.1,142.2,157.3,102.1,42.1,7.6,6.61,6.61,201.6,6.61,6.61
78,IL,2006,62638,8.34,D,40.5,112.7,151.2,166.4,142.9,72.7,16,12.6,28.1,34.8,26.9,17,9.9,3.1,68.2,39.8,94.1,114,103.5,51.4,10.5,6.61,8.34,201.6,8.34,8.34
79,IN,2006,58437,6.61,R,29.7,104.6,160.9,170,117.1,49.3,9.5,4.8,14.7,19.9,14.6,9.1,5.4,1.6,73.7,41.8,115.9,128.3,89.2,36.1,6.4,6.61,6.61,201.6,6.61,6.61
80,KS,2006,58624,3.4,D,29.5,104.4,156.1,191.8,130.2,57.7,11.7,5.8,15,18.6,16.1,9.3,5.6,1.4,73.3,40.9,113,145.1,99.9,42.9,8.4,6.61,6.61,201.6,3.4,3.4
81,KY,2006,50816,6.61,R,35.2,124.5,163,154.8,102.2,42.2,8.1,4.2,11.4,13.7,10.4,6.5,3.9,1.1,93.3,52.3,123.3,119.5,79.2,31.6,5.7,6.61,6.61,201.6,6.61,6.61
82,LA,2006,46959,0,D,40.1,131.5,180.9,160.1,106.1,45,9.6,6.3,19.3,24.2,18.3,10.7,6,1.9,91.9,53.6,128.6,116.7,78.6,32.1,6.3,6.61,6.61,201.6,0,0
83,LA,2006,46959,0,D,40.1,131.5,180.9,160.1,106.1,45,9.6,6.3,19.3,24.2,18.3,10.7,6,1.9,91.9,53.6,128.6,116.7,78.6,32.1,6.3,6.61,6.61,201.6,0,0
84,MA,2006,71208,8.66,R,24.6,74.7,110.3,139.3,159.1,86.6,20.7,11,30.4,39.1,30.2,18.5,11.4,4.2,34.3,20.6,56.1,88.4,115.6,61.7,13.3,6.61,8.66,201.6,8.66,8.66
85,MD,2006,81939,6.61,R,34.1,118.3,167.5,173.9,159.4,81.2,19.1,12.2,41.3,54.3,42.7,28.2,14.5,4,60.8,33.7,89.8,105.8,107,54.3,12.3,6.61,6.61,201.6,6.61,6.61
86,ME,2006,58740,8.34,D,19.6,78.4,139.2,157.3,116.9,50,9.2,7.2,18.5,27.3,17.5,9.9,5.1,1.6,48.4,24.9,90.9,115,88.3,37,6.2,6.61,8.34,201.6,8.34,8.34
87,MI,2006,62607,6.61,D,31.6,103.8,150.5,179,135.5,59.4,12.4,10.5,29.8,36.1,28.6,17.6,9.7,2.9,59.2,33.2,92.3,123,96.8,40.6,7.7,6.61,6.61,201.6,6.61,6.61
88,MN,2006,72342,6.74,R,22.9,78.1,131.9,187.3,152.6,71.1,14.2,6.1,17.7,25.2,19.9,11.8,6.9,2.1,48.9,27.3,86.8,137.8,116.3,53,9.9,6.61,6.74,201.6,6.74,7.89
